Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,BB_HIGH,BB_LOW,Trend_Regime,Volatility_Regime,Volume_Regime,Actual,UP_Probability,Decision
2023-01-16,1115.723388671875,1131.951774613395,1107.917221092014,1128.7791493112115,13623855,1157.23895076269,1166.9190840669437,34.77106471003002,-13.30417518680133,-9.101515349546672,1197.999314167685,1119.0451560471588,0,0,1,1,0.5384691108121991,NO_TRADE
2023-01-17,1131.5638427734375,1133.481062404078,1118.6906511572718,1122.0686670526488,10751000,1154.7937023827617,1165.532604016218,40.92000131211936,-13.64812275201598,-10.010836830040532,1192.2377714424763,1118.27879349893,0,0,1,0,0.5393937343331111,NO_TRADE
2023-01-18,1129.692138671875,1137.178689301756,1123.1414974309205,1129.144430635729,13448286,1152.4030772674391,1164.1270955713417,40.43496854041926,-13.911372906630277,-10.790944045358485,1189.528091558627,1115.9761320741857,0,0,1,0,0.5393263989337624,NO_TRADE
2023-01-19,1128.4825439453125,1132.6366004638107,1121.4524163802744,1128.8705038207283,11940054,1150.1249312367604,1162.7292700173798,40.104133155543664,-14.055580750608216,-11.44387138640843,1186.831189748968,1113.8455924775944,0,0,1,0,0.5402253092446571,NO_TRADE
2023-01-20,1115.0615234375,1129.8291140692525,1112.596474928504,1129.8291140692525,14930286,1146.785559065402,1160.8599466220903,36.53251700632584,-15.079009264312615,-12.170898961989268,1188.4776318552488,1109.4807177541263,0,0,1,0,0.5393261630076257,NO_TRADE
2023-01-23,1109.423828125,1125.8120854761514,1107.0044217374414,1117.960395115449,10954118,1143.22729897584,1158.84284393593,35.11769316795966,-16.158730839701548,-12.968465337531724,1189.8816256725431,1103.7970852649569,0,1,1,0,0.5620477546388978,NO_TRADE
2023-01-24,1102.873046875,1115.51790607312,1089.8171651533376,1113.851719292168,16488755,1139.384036870998,1156.6479499335403,33.49449199229076,-17.343090910565024,-13.843390452138388,1190.3855753751247,1097.41574298425,0,1,1,0,0.5568922138332714,NO_TRADE
2023-01-25,1087.6258544921875,1102.3022790893294,1086.4618542855478,1101.275205877952,12385018,1134.4546861682545,1153.941201092703,30.016792027300625,-19.289666530405384,-14.932645667791784,1191.9490568340048,1088.4615510761514,0,1,1,0,0.5631288719578325,NO_TRADE
2023-01-27,1066.992431640625,1089.817223588686,1055.260418546103,1088.4706538388857,25830975,1128.0297095465753,1150.5314454279155,26.07172359748843,-22.240907183334684,-16.394297970900368,1195.2916832449102,1075.7173865793086,0,1,1,1,0.5529999742949343,NO_TRADE
2023-01-30,1077.218017578125,1082.764407064242,1050.3987961919847,1064.4132886312711,21772103,1123.190500787675,1147.656409041649,30.917464001085392,-23.4839588772727,-17.812230152174834,1194.723007241431,1067.72905574685,0,1,1,0,0.554337578911496,NO_TRADE
2023-01-31,1074.5245361328125,1089.9541811505658,1068.6585300710096,1087.3749062182635,22691594,1118.5556470110216,1144.7884924569892,30.35309517637777,-24.40510093081297,-19.130804307902466,1190.7577855435816,1061.557766214231,0,1,1,0,0.5590143727155189,NO_TRADE
2023-02-01,1068.1566162109375,1086.439272024598,1052.224782493373,1086.439272024598,19347800,1113.7557393157756,1141.783320839497,29.00506004859696,-25.3566548305646,-20.375974412434893,1187.604989127769,1054.7977574542624,0,1,1,0,0.5597044025287191,NO_TRADE
2023-02-02,1062.244873046875,1071.8540341073915,1054.9637127057106,1058.1591593362568,13662663,1108.8499425282612,1138.6641660241,27.771935288328063,-26.2848015875536,-21.557739847458635,1186.581771285364,1047.0745031286986,0,1,0,1,0.5471654394151428,NO_TRADE
2023-02-03,1063.1806640625,1072.3105805967243,1046.7467660021257,1072.3105805967243,24699575,1104.500487436284,1135.7040286922727,28.291633325549327,-26.63779020118409,-22.573749918203724,1184.5749401541707,1040.633873322392,0,1,1,0,0.5590056429267045,NO_TRADE
2023-02-06,1055.1690673828125,1059.528634971871,1052.5899131464937,1056.7896118119152,14837879,1099.802256955001,1132.545794915431,26.53155234818918,-27.24988540054278,-23.508977014671537,1180.396060342698,1034.5210295010522,0,1,0,0,0.5489584824778487,NO_TRADE
