Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,BB_HIGH,BB_LOW,Target
2015-03-16,180.19918823242188,182.73494359136333,179.8140067677036,182.21067397823188,13839990,186.0186631497968,188.0010634568256,39.3400548925394,-2.031835962168856,-1.5215433298734475,196.4378274153293,176.100041847366,1
2015-03-17,183.35548400878903,184.00814260727708,179.96377340198245,182.00735617885903,19070082,185.76502704112943,187.81888387062804,44.95841767537453,-1.986011859982796,-1.6144370358953173,194.73917590334105,176.50085552976444,1
2015-03-18,185.8805694580078,186.6509324213781,182.8954379728192,183.38761034261188,9269885,185.77603108083213,187.74287154072132,49.026027732187245,-1.7260458539451236,-1.6367587995052788,193.69163795908085,176.8176271776379,0
2015-03-19,183.20571899414065,187.603158607198,182.7670420847766,187.3570795737361,13934612,185.5312394535282,187.56494398987505,45.21421538145798,-1.7160771300480917,-1.6526224656138415,192.4655436525736,177.07007799049282,0
2015-03-20,182.7670135498047,184.27562763376545,181.59007115481376,183.58015842661288,10405717,185.26797984364973,187.37678985497035,44.60170359113762,-1.7237068874541706,-1.6668393499819074,190.989576038722,177.51997138559443,0
2015-03-23,180.1670837402344,184.88551006914392,179.34322540214848,183.28060402910987,13251683,184.78218021475303,187.09405628184345,41.05233876637725,-1.9174430424536693,-1.71696008847626,190.77173472444343,177.07124318082998,1
2015-03-24,181.45098876953125,182.8098156821211,180.19916701223235,180.19916701223235,9238431,184.46492388663668,186.87275951665475,43.445766263876656,-1.944959651099623,-1.7625600010009328,190.77956064267028,176.9885210223688,0
2015-03-25,180.79830932617188,181.78265379298168,179.9637520612046,181.6756629345228,10264941,184.11572249992577,186.63454578369465,42.501042163727135,-1.99641906188964,-1.8093318131786744,190.74169741790223,177.1002062686212,0
2015-03-26,177.4601287841797,181.72919342066984,176.34739507256452,179.98518495338175,20621346,183.48185643175947,186.27476472489016,37.955115543121934,-2.280278654184457,-1.9035211813798307,191.00721340083464,176.53831882572786,0
2015-03-27,173.69393920898438,178.6798567145218,171.50055489934067,178.4444625104279,23326922,182.5496738391142,185.7813990183841,33.58987421588378,-2.7771264643548648,-2.078242237974837,191.7941472138142,175.10300091851002,0
2015-03-30,173.4906463623047,174.97786237927156,170.43062162831464,174.74248245411664,17330588,181.6869093175133,185.29940871814568,33.36679605729138,-3.150963620042802,-2.2927865143884305,192.3784946393764,173.55998802663922,1
2015-03-31,176.7539520263672,178.23046882202829,175.04204104238607,175.04204104238607,20235395,181.21710386121367,184.9642927694485,40.22894210261273,-3.147626881411071,-2.463754587792959,192.29724116495464,172.82273716756487,1
2015-04-01,178.904541015625,179.53580146037353,173.99351702564954,176.51857308913966,14588531,180.9968597806814,184.72665544576915,44.30001330963039,-2.937585279278352,-2.5585207260900376,190.51345408322803,173.220952960229,0
2015-04-06,176.465087890625,179.32183011568313,175.76963288075356,178.89385230787886,12334096,180.5652624578189,184.40267240439093,40.8972509845271,-2.934146264453261,-2.6336458337626825,189.28866314880077,173.09334063537895,1
2015-04-07,178.21978759765625,178.91524257679168,176.7646688292302,176.7646688292302,21275454,180.3418838997082,184.16020633353855,44.216418436328176,-2.7580382703461623,-2.658524321079379,187.89444195005944,173.3726860406632,1
2015-04-08,185.2920837402344,186.0624323295186,178.23048596339785,178.35887501419583,24821205,180.81333150356784,184.2045936828208,55.149267241452335,-2.024459514069747,-2.5317113596774528,187.7411609346872,173.4457241361136,1
2015-04-09,191.54052734375,192.37508476493576,183.77277529820063,185.20649592340592,27276420,181.8349692026328,184.4922773557984,62.19836634520508,-0.9281962179707932,-2.211008331336121,189.4838404912097,172.47233321484504,1
2015-04-10,193.51988220214844,194.47212942467127,190.25657526677853,191.50839689715508,25323219,182.9478180597295,184.8463010752631,64.1220270015759,0.099174515175207,-1.7489717620338554,191.5845341721539,171.40733747091252,1
2015-04-13,197.4037933349609,197.8852665590753,192.32158390514024,194.04417985370733,20177342,184.32457760975157,185.33875175211404,67.60555093201964,1.212792080056147,-1.1566189936158549,194.3130742218979,169.93490398855133,1
2015-04-15,197.6498870849609,201.06298172725784,194.1297872824526,197.0828068746773,22231264,185.5936547026286,185.82154137301,67.81876194366342,2.0910948920846977,-0.5070762164757444,196.85002392054423,168.9718373465456,1
2015-04-16,198.6555938720703,200.7205745370079,196.6548077209244,197.8317357094243,20177302,186.8376489092421,186.3248375494437,68.72469491815004,2.835621056696027,0.1614632381586098,199.2933792196368,168.3741226114179,0
2015-04-17,198.3346405029297,202.06872201034483,197.42518950168795,200.08933369628787,23958678,187.9326004895933,186.79581021428635,68.06615849336302,3.3610213891900287,0.8013748683648936,201.27898880277684,167.88642867769192,0
2015-04-20,189.518310546875,200.60287794210817,187.98829838982132,200.57078068399127,37628162,188.0836204950487,186.9025749332114,53.0331747681506,3.031060611724428,1.2473120170368004,201.59220943639036,167.93698215296516,0
2015-04-21,187.54966735839844,191.62614869475385,186.6937259818531,190.4813033556473,17707007,188.0327678153677,186.92795110674817,50.35861925238147,2.58095957033612,1.5140415276966643,201.83543339381288,168.1281530319684,1
2015-04-22,188.2558135986328,189.75372868672943,185.5274606071912,188.71588864090145,14761313,188.0540102709168,186.9800241456456,51.30721448142508,2.2552344138216824,1.6622801049216682,202.13541299973755,168.3770534309265,0
2015-04-23,187.6780242919922,190.3207699575992,185.9661133932797,189.1331428421002,13337818,188.01820208244771,187.00739670040429,50.457597500952005,1.928244509882404,1.7154729859138156,202.3750085410225,168.8885519448173,1
2015-04-24,188.07391357421875,189.261555120083,185.88054353589987,187.6673482561077,12709854,188.0235079388069,187.04922089153428,51.05564582381356,1.681662453698635,1.7087108794707797,202.62408076746112,169.30177219884746,0
2015-04-27,187.30355834960932,189.91420698512152,186.4797000863412,188.3200001777737,11042925,187.95494131126424,187.059194909498,49.79597965491274,1.407854301122029,1.6485395638010296,202.78654291651293,169.78983495213942,0
2015-04-28,185.1422882080078,188.737281460538,183.71926677201776,187.17517189242344,14687371,187.6870695871446,186.98402209767488,46.34148635016383,1.0048793064556776,1.5198075123319592,202.68108252090397,170.66351129013125,0
2015-04-29,181.88967895507807,186.2871326275261,181.33331210166932,184.4575314648479,16387960,187.1349371459954,186.7842439352201,41.65774063269958,0.4182391359681787,1.2994938370592033,202.1318894919549,172.0322782936896,1
2015-04-30,184.5324249267578,185.29208873344288,181.45100191759124,181.8896788041353,34802149,186.8870788394013,186.69593730743728,46.39810478263332,0.1646718532875297,1.0725294403048686,201.40487204702745,173.86347359506243,1
2015-05-04,190.6524810791016,191.2837415212092,184.13655114361163,185.3562756781583,15078502,187.24568857651565,186.8510958867182,55.42960013042878,0.4523410331032096,0.9484917588645368,201.20724596154483,175.45095258581844,1
2015-05-05,190.90928649902344,192.97426780404567,189.40067210381304,191.24097254092007,17846755,187.59460266437355,187.0102406166125,55.76639488237525,0.6930538880169195,0.8974041846950135,201.09373281419263,176.7649402815105,0
2015-05-06,188.36279296875,191.89359158330777,186.59738651922365,190.44917202037573,22438208,187.6677636457427,187.0632818853238,51.60238603469753,0.6706094455712162,0.8520452368702541,200.27362541641855,178.77481818709705,0
2015-05-07,186.3299102783203,187.9776124974505,184.029535196016,187.23936122445213,16735535,187.5403490393215,187.0345222144609,48.4896482879286,0.4832152154091318,0.7782792325780297,199.48873498980603,180.370720881776,1
2015-05-08,192.78366088867188,193.6612345695272,186.5865046224876,188.73167187394108,17104443,188.03971207259295,187.25997863305744,57.29650136194655,0.845718756530573,0.7917671373685383,199.69264085735816,180.9159727290676,1
2015-05-11,194.13796997070312,194.89635656004145,191.41857742185712,193.4662400168806,14214007,188.62049853907965,187.52970378355332,58.88510557604252,1.228129733964067,0.8790396566876442,199.95820621556317,180.91015163355797,0
2015-05-12,188.2333221435547,193.9104381338344,187.4641016894681,193.9104381338344,16650201,188.5836245966487,187.55729666041617,50.12915109299137,1.042717656181139,0.9117752565863432,199.62987522592667,180.70982661733504,1
2015-05-13,191.7869110107422,192.5561458194861,185.74142925496915,189.24087556509227,16701434,188.888699493229,187.72316388984072,54.51288600789157,1.1690461355720745,0.9632294323834896,198.79033020511227,180.98768340572755,0
2015-05-14,190.29180908203125,192.02528880195328,188.580011599853,191.9819387909339,12329713,189.02232897787684,187.8238950738482,52.42491916617196,1.1354315865302451,0.9976698632128408,197.68678368149008,181.3554221290568,0
2015-05-15,189.3708953857422,192.1877926328846,188.53667166955964,191.0935411789725,8331715,189.0555257786259,187.884561752746,51.125950627325466,1.0226928092404537,1.0026744524183635,196.06636252011884,182.04737344179523,1
2015-05-18,193.1845550537109,193.7154299949036,188.99172496056983,189.57676933816288,9847540,189.4487666619673,188.0924046272937,55.98921282405235,1.2269336517232716,1.0475262922793451,194.7205061162936,182.87822130069856,1
2015-05-19,194.05130004882807,196.04479321846367,192.11197631701208,193.11955678939376,14513036,189.8871031750017,188.3260868006872,57.035599520689566,1.4421113068206068,1.1264432951875976,195.37169184142596,182.68033452576157,1
2015-05-20,196.9331817626953,197.3990533812929,194.5171525712649,195.10221141469,8708891,190.5581582785916,188.6636199364522,60.40636072892588,1.8241571698199264,1.2659860701140633,196.6684641523448,182.32191365527237,0
2015-05-21,194.3112945556641,198.35244994187525,193.7370841058482,197.45320843211144,10759523,190.9155998287889,188.88509737249973,56.09452467062723,1.8935393403289424,1.391496724157039,197.24248804031447,182.3534378630058,1
2015-05-22,195.8497467041016,196.2289471905688,194.36546088172892,194.36546088172892,8349048,191.38551857881876,189.1582208756998,57.98945211271699,2.049045322337207,1.5230064437930728,198.02826069165624,182.38483745287505,0
