Date,Close,High,Low,Open,Volume,EMA_20,EMA_50,RSI,MACD,MACD_SIGNAL,BB_HIGH,BB_LOW,Trend_Regime,BB_Width,BB_Width_Avg,Volatility_Regime,Volume_Avg,Volume_Regime
2015-04-15,197.6498870849609,201.06298172725784,194.1297872824526,197.0828068746773,22231264,185.5936547026286,185.82154137301,67.81876194366342,2.0910948920846977,-0.5070762164757444,196.85002392054423,168.9718373465456,Bearish,27.87818657399862,17.33256689806335,High,17440856.15,High
2015-04-16,198.6555938720703,200.7205745370079,196.6548077209244,197.8317357094243,20177302,186.8376489092421,186.3248375494437,68.72469491815004,2.835621056696027,0.1614632381586098,199.2933792196368,168.3741226114179,Bullish,30.919256608218888,17.86164045007613,High,17757721.75,High
2015-04-17,198.3346405029297,202.06872201034483,197.42518950168795,200.08933369628787,23958678,187.9326004895933,186.79581021428635,68.06615849336302,3.3610213891900287,0.8013748683648936,201.27898880277684,167.88642867769192,Bullish,33.39256012508491,18.619352437651543,High,18002151.55,High
2015-04-20,189.518310546875,200.60287794210817,187.98829838982132,200.57078068399127,37628162,188.0836204950487,186.9025749332114,53.0331747681506,3.031060611724428,1.2473120170368004,201.59220943639036,167.93698215296516,Bullish,33.655227283425205,19.458413262750657,High,19420065.4,High
2015-04-21,187.54966735839844,191.62614869475385,186.6937259818531,190.4813033556473,17707007,188.0327678153677,186.92795110674817,50.35861925238147,2.58095957033612,1.5140415276966643,201.83543339381288,168.1281530319684,Bullish,33.70728036184448,20.374003997738843,High,19608685.15,Normal
2015-04-22,188.2558135986328,189.75372868672943,185.5274606071912,188.71588864090145,14761313,188.0540102709168,186.9800241456456,51.30721448142508,2.2552344138216824,1.6622801049216682,202.13541299973755,168.3770534309265,Bullish,33.758359568811045,21.388441743523018,High,19826464.95,Normal
2015-04-23,187.6780242919922,190.3207699575992,185.9661133932797,189.1331428421002,13337818,188.01820208244771,187.00739670040429,50.457597500952005,1.928244509882404,1.7154729859138156,202.3750085410225,168.8885519448173,Bullish,33.486456596205215,22.377739996152606,High,19830771.7,Normal
2015-04-24,188.07391357421875,189.261555120083,185.88054353589987,187.6673482561077,12709854,188.0235079388069,187.04922089153428,51.05564582381356,1.681662453698635,1.7087108794707797,202.62408076746112,169.30177219884746,Bullish,33.322308568613664,23.35430344356821,High,20004342.85,Normal
2015-04-27,187.30355834960932,189.91420698512152,186.4797000863412,188.3200001777737,11042925,187.95494131126424,187.059194909498,49.79597965491274,1.407854301122029,1.6485395638010296,202.78654291651293,169.78983495213942,Bullish,32.99670796437351,24.322064284322835,High,20043242.05,Normal
2015-04-28,185.1422882080078,188.737281460538,183.71926677201776,187.17517189242344,14687371,187.6870695871446,186.98402209767488,46.34148635016383,1.0048793064556776,1.5198075123319592,202.68108252090397,170.66351129013125,Bullish,32.01757123077272,25.199498117106135,High,19746543.3,Normal
