Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-01-01,189.99981689453125,190.8771706719807,189.0903658533578,189.65744608147511,2963643
2015-01-02,189.49693298339844,191.74381271840838,189.22945580333513,190.04260071522322,7331366
2015-01-05,187.4212646484375,190.6417900892634,187.04678228843514,189.37925486692558,10103941
2015-01-06,178.9152374267578,186.81139240746566,178.03788369901343,186.16943288485805,18627980
2015-01-07,182.80979919433594,183.77274551363777,179.10781540722698,179.12921357945618,20720312
2015-01-08,180.1884765625,184.650124649003,179.78189694949202,184.05094717483541,19872227
2015-01-09,184.09373474121094,184.45751798649138,180.8197283871731,181.54728059323858,13392787
2015-01-12,181.95387268066406,184.24354889589054,180.0921885470929,184.13655801772492,10100113
2015-01-13,180.42384338378906,182.94889929466348,179.85677749808573,182.53162062437363,9948711
2015-01-14,178.66915893554688,181.2477104052324,177.86669881659475,180.39175484961623,11380041
2015-01-15,184.93899536132812,186.4048131781008,179.74979516459382,179.74979516459382,16927085
2015-01-16,186.10523986816406,187.2393717003376,182.32834774405396,184.02954549231427,19136963
2015-01-19,188.23443603515625,189.59324885147356,183.7620884559331,186.21225115902527,13339962
2015-01-20,193.24171447753906,193.7766830853342,188.06319949854915,188.63027965023696,13361320
2015-01-21,194.03346252441406,195.0285061417366,190.88784537432815,193.6589944954715,17084297
2015-01-22,189.1117706298828,194.12978549981565,188.20231962566118,193.69110862891478,23721627
2015-01-23,189.7858428955078,192.11830129279832,187.66736626512574,190.4492006574211,18080494
2015-01-27,190.24588012695312,191.88288317159092,188.41627924592046,191.06972405013323,17939876
2015-01-28,194.05490112304688,194.68617592947535,189.61465072299592,189.61465072299592,19298126
2015-01-29,198.8803253173828,199.97166089874776,194.0655927119526,194.10838906537893,36117653
2015-01-30,195.85238647460938,199.2761945456081,194.51495765255618,199.00870306739893,21746801
2015-02-02,194.3116455078125,196.8474003420121,193.80877417542277,196.02354214136506,19302710
2015-02-03,200.63499450683594,201.3304494012705,195.413683259693,195.413683259693,17092333
2015-02-04,198.75193786621094,201.96175010615312,198.13137645200834,200.95600722349823,14072894
2015-02-05,197.66058349609375,201.1271735293087,196.3552519765529,200.2926304255329,12365643
2015-02-06,194.70753479003906,199.00868188305802,193.2310179844294,197.74616109413523,9045844
2015-02-09,191.8828887939453,196.4408282162597,190.87714609111782,192.84583515065205,8839692
2015-02-10,188.7373046875,193.5520230294048,184.30775352810963,192.1611129679973,13651008
2015-02-11,192.7388458251953,193.60550041005428,188.9512548872894,189.59321436872443,9781008
2015-02-12,194.5470428466797,195.5741837758089,189.86071414308964,194.30096384372987,8709626
2015-02-13,196.3338623046875,197.040016389926,194.52565931328633,195.58489758339235,7393680
2015-02-16,193.188232421875,197.76757030685985,192.58905496930115,196.59062786062142,12266698
2015-02-18,192.94215393066406,194.30098096364335,191.39074331319028,192.58906974126074,9835036
2015-02-19,193.0277557373047,194.21539741784883,189.92493435604038,194.07629498243546,9550637
2015-02-20,186.83277893066406,191.7331034542777,186.44759752732216,191.57260287026327,18717199
2015-02-23,182.199951171875,187.61384629636035,181.26910203852032,186.15872761812142,14104463
2015-02-24,180.06008911132812,183.3448092834425,179.10785594710333,182.7991414835957,19946218
2015-02-25,180.42384338378906,183.2805852704313,179.97446745305348,181.63288304739757,15274116
2015-02-26,180.1777801513672,181.88967704507175,179.02223582073267,181.05511963147399,21459750
2015-02-27,183.07730102539062,184.24354442256953,180.73414371246815,181.36540416281517,18659378
2015-03-02,184.93899536132812,187.34636143153838,183.0772970290994,185.9554372260285,14579511
2015-03-03,192.76025390625,193.969279324954,185.613063696691,185.95543448599022,20636925
2015-03-04,189.98912048339844,194.65406572197864,188.320019892744,193.8730037246968,14476047
2015-03-05,189.36854553222656,192.3215793319759,187.9134268069372,190.98415056690584,10716702
2015-03-09,186.09451293945312,190.8236520656184,184.91758484346377,189.40063069312518,14065391
2015-03-10,183.84764099121094,187.41053669516248,183.04518095544498,185.94471902903294,15234060
2015-03-11,183.16290283203125,186.08382507493755,182.40323906798355,184.23284012645408,11635873
2015-03-12,184.8427276611328,185.61309061777965,183.0880199734915,183.60160480092114,11782380
2015-03-13,181.9110565185547,186.08381458855538,181.2476988616737,185.95542554873873,12936157
2015-03-16,180.19918823242188,182.73494359136333,179.8140067677036,182.21067397823188,13839990
2015-03-17,183.35548400878906,184.00814260727708,179.96377340198245,182.00735617885903,19070082
2015-03-18,185.8805694580078,186.65093242137806,182.89543797281914,183.38761034261188,9269885
2015-03-19,183.20571899414062,187.60315860719794,182.7670420847766,187.35707957373606,13934612
2015-03-20,182.7670135498047,184.27562763376545,181.59007115481376,183.58015842661288,10405717
2015-03-23,180.16708374023438,184.88551006914392,179.34322540214848,183.28060402910987,13251683
2015-03-24,181.45098876953125,182.8098156821211,180.19916701223235,180.19916701223235,9238431
2015-03-25,180.79830932617188,181.78265379298168,179.9637520612046,181.67566293452276,10264941
2015-03-26,177.4601287841797,181.72919342066984,176.34739507256452,179.98518495338175,20621346
2015-03-27,173.69393920898438,178.6798567145218,171.50055489934067,178.4444625104279,23326922
2015-03-30,173.4906463623047,174.97786237927156,170.43062162831464,174.74248245411664,17330588
2015-03-31,176.7539520263672,178.23046882202829,175.04204104238607,175.04204104238607,20235395
2015-04-01,178.904541015625,179.53580146037353,173.99351702564954,176.51857308913966,14588531
2015-04-06,176.465087890625,179.32183011568313,175.76963288075356,178.89385230787886,12334096
2015-04-07,178.21978759765625,178.91524257679168,176.7646688292302,176.7646688292302,21275454
2015-04-08,185.29208374023438,186.0624323295186,178.23048596339783,178.35887501419583,24821205
2015-04-09,191.54052734375,192.37508476493576,183.77277529820066,185.20649592340592,27276420
2015-04-10,193.51988220214844,194.47212942467127,190.25657526677858,191.50839689715508,25323219
2015-04-13,197.40379333496094,197.88526655907532,192.32158390514024,194.04417985370733,20177342
2015-04-15,197.64988708496094,201.06298172725784,194.1297872824526,197.0828068746773,22231264
2015-04-16,198.6555938720703,200.7205745370079,196.65480772092434,197.83173570942427,20177302
2015-04-17,198.3346405029297,202.06872201034483,197.42518950168795,200.08933369628787,23958678
2015-04-20,189.518310546875,200.60287794210817,187.98829838982138,200.57078068399127,37628162
2015-04-21,187.54966735839844,191.62614869475382,186.6937259818531,190.4813033556473,17707007
2015-04-22,188.2558135986328,189.75372868672946,185.52746060719113,188.71588864090145,14761313
2015-04-23,187.6780242919922,190.32076995759914,185.9661133932797,189.1331428421002,13337818
2015-04-24,188.07391357421875,189.261555120083,185.88054353589987,187.66734825610772,12709854
2015-04-27,187.30355834960938,189.91420698512152,186.47970008634118,188.3200001777737,11042925
2015-04-28,185.1422882080078,188.73728146053793,183.71926677201776,187.17517189242346,14687371
2015-04-29,181.88967895507812,186.28713262752606,181.33331210166938,184.4575314648479,16387960
2015-04-30,184.5324249267578,185.29208873344288,181.45100191759124,181.88967880413526,34802149
2015-05-04,190.65248107910156,191.2837415212092,184.13655114361163,185.3562756781583,15078502
2015-05-05,190.90928649902344,192.97426780404567,189.40067210381306,191.24097254092007,17846755
2015-05-06,188.36279296875,191.89359158330777,186.59738651922365,190.44917202037573,22438208
2015-05-07,186.3299102783203,187.97761249745054,184.02953519601593,187.23936122445218,16735535
2015-05-08,192.78366088867188,193.6612345695272,186.5865046224876,188.73167187394108,17104443
2015-05-11,194.13796997070312,194.89635656004143,191.41857742185712,193.4662400168806,14214007
2015-05-12,188.2333221435547,193.91043813383442,187.4641016894681,193.91043813383442,16650201
2015-05-13,191.7869110107422,192.55614581948612,185.74142925496915,189.24087556509227,16701434
2015-05-14,190.29180908203125,192.02528880195328,188.580011599853,191.9819387909339,12329713
2015-05-15,189.3708953857422,192.1877926328846,188.53667166955964,191.09354117897246,8331715
2015-05-18,193.18455505371094,193.71542999490362,188.99172496056983,189.57676933816288,9847540
2015-05-19,194.05130004882812,196.04479321846367,192.11197631701208,193.11955678939376,14513036
2015-05-20,196.9331817626953,197.3990533812929,194.51715257126492,195.10221141468998,8708891
2015-05-21,194.31129455566406,198.35244994187525,193.7370841058482,197.45320843211144,10759523
2015-05-22,195.84974670410156,196.22894719056876,194.36546088172898,194.36546088172898,8349048
2015-05-25,193.82374572753906,196.7489817307363,193.35787416564614,195.01550211500432,6617337
2015-05-26,191.67860412597656,194.14880278423198,191.2669019388558,193.9321105709988,9510249
2015-05-27,191.83029174804688,193.04373061801746,190.72520622438222,191.98196618261687,8078236
2015-05-28,189.77175903320312,193.76957872815927,188.94835475895533,191.94942800170307,26538868
2015-05-29,190.03179931640625,192.07946178668595,189.1867272140955,190.66017921748605,29277517
2015-06-01,195.50306701660156,196.07729197792483,190.24848698121735,190.6818569418261,19594976
2015-06-02,194.7229766845703,199.08914821729235,193.16285379328852,196.26143180504818,20178960
2015-06-03,194.22462463378906,197.27986743651704,192.52366104712465,194.7988350870647,15546279
2015-06-04,197.7674102783203,198.52579681682707,193.40122372899853,195.9255916692109,15931395
2015-06-05,196.69483947753906,198.68833263238542,195.97977397468765,197.16071110380008,13066337
2015-06-08,191.86276245117188,197.18235980003936,191.353555324246,196.4889621392459,10846953
2015-06-09,191.48358154296875,192.9895207266513,190.10763453551544,191.45106541832612,9153355
2015-06-10,196.27230834960938,197.1607160745957,191.7652808626073,191.98195861774076,13509379
2015-06-11,190.06430053710938,197.07402780771488,189.3058995312586,196.31562680186408,14676438
2015-06-12,192.81617736816406,193.43372337219535,190.30264334093474,190.46516610528792,21543824
2015-06-15,195.3947296142578,196.09896122972717,192.84869373291542,193.91044363539274,12858570
2015-06-16,195.87142944335938,196.0989555384121,193.54208584379182,194.7988456845262,13929305
2015-06-17,201.7760467529297,204.19207561771526,193.7154042560621,196.1097653491665,26232634
2015-06-18,212.12271118164062,212.7835927265047,202.0577412744451,202.06857516100897,49366799
2015-06-19,215.95803833007812,218.0707042204091,212.8919614243679,212.8919614243679,45710935
